Date,portfolio
2011-09-16,
2011-09-19,-0.01285750396813437
2011-09-20,0.00016587667686082663
2011-09-21,-0.02257395680494395
2011-09-22,-0.02829878722599677
2011-09-23,-0.001859426498909661
2011-09-26,0.006787990736910887
2011-09-27,0.01982916126653128
2011-09-28,-0.02473040795251885
2011-09-29,0.007508828397701034
2011-09-30,-0.016362872142331147
2011-10-03,-0.01943923993363164
2011-10-04,0.006931376373956022
2011-10-05,0.017958278662315003
2011-10-06,0.014982114484769132
2011-10-07,-0.010192728569294818
2011-10-10,0.02104162332381157
2011-10-11,0.005832545672413536
2011-10-12,0.00941055101743496
2011-10-13,-0.0054454836347377356
2011-10-14,0.014928799404639315
2011-10-17,-0.011244438354377162
2011-10-18,0.005855711333915853
2011-10-19,-0.0035000114792127224
2011-10-20,-0.007771944275678316
2011-10-21,0.016788782463621532
2011-10-24,0.01913478818733183
2011-10-25,-0.0074850184266002096
2011-10-26,-0.0005188361097433203
2011-10-27,0.031651369065474194
2011-10-28,0.00372942262510767
2011-10-31,-0.01603628196930937
2011-11-01,-0.023203437780845715
2011-11-02,0.014916455267350415
2011-11-03,0.01317681886909497
2011-11-04,-0.001728808025588724
2011-11-07,-0.0011076815548990149
2011-11-08,0.005313081907671352
2011-11-09,-0.016782024477428326
2011-11-10,-0.0027508724297312936
2011-11-11,0.014612417511520426
2011-11-14,-0.008813529970807227
2011-11-15,0.0018706623234837072
2011-11-16,0.0007059743546878883
2011-11-17,-0.012020743841832743
2011-11-18,-0.004199056152449865
2011-11-21,-0.015432121188472203
2011-11-22,-0.0033321931617695533
2011-11-23,-0.016250311433062242
2011-11-24,-0.0026490066225165476
2011-11-25,-0.0035480311402329434
2011-11-28,0.021431373047732682
2011-11-29,0.0024620968486328554
2011-11-30,0.029799187381786663
2011-12-01,-0.0029325173120732517
2011-12-02,0.0056076710945712205
2011-12-05,0.00492255269229841
2011-12-06,-0.0002869857969003964
2011-12-07,-0.003231172365974977
2011-12-08,-0.011689592294790191
2011-12-09,0.008663942982381267
2011-12-12,-0.010937599622755229
2011-12-13,-0.0024621471563806285
2011-12-14,-0.018782884229120583
2011-12-15,0.004496513862593504
2011-12-16,0.008923533938058031
2011-12-19,-0.00703855494367947
2011-12-20,0.020836731818969334
2011-12-21,0.0017269065407738149
2011-12-22,0.006115273020766004
2011-12-23,0.0026439514636357464
2011-12-27,0.002445203512717986
2011-12-28,-0.009800818889024898
2011-12-29,0.003620910667982008
2011-12-30,0.00017215816386564886
2012-01-03,0.014829313926832732
2012-01-04,-0.004970743652512155
2012-01-05,-0.0037568006148869515
2012-01-06,0.0031996669129314703
2012-01-09,0.0007173776878820481
2012-01-10,0.010107316946266376
2012-01-11,-0.001364378550812756
2012-01-12,-0.000789566981862555
2012-01-13,-0.0035895863651926874
2012-01-16,0.002475681954302089
2012-01-17,0.0005393198161549595
2012-01-18,0.005645007704533744
2012-01-19,0.004332110886627549
2012-01-20,1.3027148485778017e-05
2012-01-23,0.004651167247095217
2012-01-24,0.0017703261961122263
2012-01-25,0.0066577115976395596
2012-01-26,0.002269161227775207
2012-01-27,0.004200822675426763
2012-01-30,-0.006651752318781956
2012-01-31,-0.004206759990469239
2012-02-01,0.010489156226061835
2012-02-02,0.004966714446067388
2012-02-03,0.011776479864431338
2012-02-06,-0.0010436678493236373
2012-02-07,0.00047130770021625024
2012-02-08,-0.002091493145960216
